Scenario_ID,Run_Type,MTTD,MTTR,Success
S3_Disk_IO_Stress,Run A (Legacy),600.0,67.028732,True
S3_Disk_IO_Stress,Run B (Proposed),6.325803,66.293267,True
S3_Disk_IO_Stress,Run B (Proposed),66.751888,66.967647,True
S3_Disk_IO_Stress,Run B (Proposed),66.344076,66.5595,True
S3_Disk_IO_Stress,Run B (Proposed),66.83823,67.08039,True
S3_Disk_IO_Stress,Run B (Proposed),66.409384,66.671411,True
S3_Disk_IO_Stress,Run B (Proposed),7.273598,67.360361,True
S3_Disk_IO_Stress,Run B (Proposed),6.15988,66.112911,True
S3_Disk_IO_Stress,Run B (Proposed),6.45638,66.488204,True
S3_Disk_IO_Stress,Run B (Proposed),65.864517,66.089086,True
S3_Disk_IO_Stress,Run B (Proposed),6.443431,66.452908,True
S5_Packet_Loss,Run A (Legacy),600.0,72.47593,True
S5_Packet_Loss,Run A (Legacy),600.0,72.076049,True
S5_Packet_Loss,Run A (Legacy),600.0,72.621383,True
S5_Packet_Loss,Run A (Legacy),600.0,72.421802,True
S5_Packet_Loss,Run A (Legacy),600.0,72.14016,True
S5_Packet_Loss,Run A (Legacy),600.0,72.211704,True
S5_Packet_Loss,Run A (Legacy),600.0,71.867957,True
S5_Packet_Loss,Run A (Legacy),600.0,72.568305,True
S5_Packet_Loss,Run A (Legacy),600.0,72.175312,True
S5_Packet_Loss,Run A (Legacy),600.0,71.786034,True
S5_Packet_Loss,Run B (Proposed),12.772581,192.742775,True
S5_Packet_Loss,Run B (Proposed),12.586035,72.549015,True
S5_Packet_Loss,Run B (Proposed),12.210172,72.193557,True
S5_Packet_Loss,Run B (Proposed),600.0,71.799823,True
S5_Packet_Loss,Run B (Proposed),12.265009,72.271894,True
S5_Packet_Loss,Run B (Proposed),11.954732,71.93289,True
S5_Packet_Loss,Run B (Proposed),71.761453,71.997908,True
S5_Packet_Loss,Run B (Proposed),11.84162,71.826972,True
S5_Packet_Loss,Run B (Proposed),12.595063,72.551861,True
S6_DNS_Failure,Run A (Legacy),600.0,72.318614,True
S6_DNS_Failure,Run A (Legacy),600.0,71.832694,True
S6_DNS_Failure,Run A (Legacy),600.0,72.526391,True
S6_DNS_Failure,Run A (Legacy),600.0,72.194021,True
S6_DNS_Failure,Run B (Proposed),600.0,71.850295,True
S6_DNS_Failure,Run B (Proposed),12.585536,72.545777,True
S6_DNS_Failure,Run B (Proposed),600.0,74.000705,True
S6_DNS_Failure,Run B (Proposed),600.0,72.60988,True
S6_DNS_Failure,Run B (Proposed),600.0,72.340039,True
S8_Node_Unresponsive,Run A (Legacy),600.0,71.882615,True
S8_Node_Unresponsive,Run A (Legacy),71.968244,71.968275,True
S8_Node_Unresponsive,Run A (Legacy),600.0,71.94072,True
S8_Node_Unresponsive,Run A (Legacy),600.0,71.906119,True
S8_Node_Unresponsive,Run B (Proposed),71.860263,72.087767,True
S8_Node_Unresponsive,Run B (Proposed),71.852583,72.079375,True
S8_Node_Unresponsive,Run B (Proposed),12.000821,71.960988,True
S8_Node_Unresponsive,Run B (Proposed),11.921333,71.911031,True
S8_Node_Unresponsive,Run B (Proposed),11.860916,71.843303,True
S10_HTTP_5xx,Run A (Legacy),72.349399,72.349432,True
S10_HTTP_5xx,Run A (Legacy),12.133194,72.022821,True
S10_HTTP_5xx,Run A (Legacy),11.86337,71.764787,True
S10_HTTP_5xx,Run A (Legacy),12.62261,72.496488,True
S10_HTTP_5xx,Run A (Legacy),12.260601,72.264314,True
S10_HTTP_5xx,Run B (Proposed),11.871561,71.885171,True
S10_HTTP_5xx,Run B (Proposed),11.702459,71.799599,True
S10_HTTP_5xx,Run B (Proposed),12.240981,72.216179,True
S10_HTTP_5xx,Run B (Proposed),71.933841,72.160432,True
S12_Config_Drift,Run A (Legacy),600.0,65.344938,True
S12_Config_Drift,Run A (Legacy),600.0,65.449843,True
S12_Config_Drift,Run A (Legacy),65.220664,185.225167,True
S12_Config_Drift,Run A (Legacy),600.0,65.395457,True
S12_Config_Drift,Run B (Proposed),5.33625,65.337306,True
S12_Config_Drift,Run B (Proposed),600.0,65.280127,True
S12_Config_Drift,Run B (Proposed),5.309981,65.307128,True
